date,democratic_empowerment,information_integrity,community_control,user_rights_protection,inclusion_access,sustainability
2024-01-07,0.40826996661482107,0.3160410709362455,0.3481702982575048,0.4864201610721153,0.36659265232918936,0.3719207504190494
2024-01-14,0.625257845333035,0.603602863588558,0.26727512277260346,0.46628905158779843,0.5894034506362495,0.3272573274053734
2024-01-21,0.5695261130152106,0.5416935997171292,0.18328436092320646,0.4353507945588965,0.33463511378853417,0.4903422205440192
2024-01-28,0.25553687496265687,0.5765716717894926,0.3151171090384315,0.47264164998717606,0.4212589806191914,0.641325834246892
2024-02-04,0.5051026113841328,0.6253091376918767,0.19828735823934857,0.6452110769269991,0.4929787695682138,0.2956471769587805
2024-02-11,0.4688563753973766,0.7190854344834621,0.11472881386440467,0.6275513852871494,0.4754225606642149,0.4638119639521805
2024-02-18,0.2902854887909373,0.6932585620362858,0.31259413196270075,0.40140197912902575,0.5255328944363864,0.4998305491947896
2024-02-25,0.6013694899453276,0.7885124526898054,0.2685835836315848,0.5821253237316301,0.29577762395923607,0.4199533910409475
2024-03-03,0.27337298443911007,0.44885466977370636,0.0,0.5911711537021597,0.20525245439436884,0.27395595318595733
2024-03-10,0.3740420560281317,0.6209146213888993,0.08041823009485521,0.7305400589797685,0.5483308092839576,0.4068869459372616
2024-03-17,0.391575486238977,0.6249842980510937,0.3707168097822018,0.7238618415710686,0.33851809435356417,0.5232449183889897
2024-03-24,0.8295367202529713,0.8620993428011868,0.3188159578951987,0.6866603600054877,0.7142292561729869,0.6617032086646316
2024-03-31,0.306026279602702,0.2729718312185243,0.05513241287747578,0.5545883013112682,0.2664551190084239,0.24562754500178766
2024-04-07,0.6439493114533524,0.800862165719954,0.47295039120705146,0.7170781223538373,0.5800992207374371,0.7347659721611489
2024-04-14,0.2331052053842237,0.3798891980987509,0.0,0.5136519110480839,0.1278630133676561,0.3476221031692085
2024-04-21,0.20748333940725655,0.46901013221965104,0.08380323100663586,0.6950636158644319,0.433934549568366,0.5797233865292096
2024-04-28,0.46252398576541986,0.4441578580498632,0.0,0.6439324232818903,0.41629785532824504,0.4257176365866525
2024-05-05,0.6671143248900961,0.6328925288079122,0.37844260403680907,0.7487787297437615,0.40943570687275355,0.46388214913318687
2024-05-12,0.656153729733814,0.7181437359901384,0.32330596055349875,0.6493963081594397,0.3820480811340939,0.40493307365485204
2024-05-19,0.712370636107764,0.7712662153866551,0.19871958550067906,0.541171095366586,0.3264596627542578,0.5308216613447141
2024-05-26,0.7378949890708957,0.6071556604779158,0.3495575360876363,0.8912500600508374,0.5174580068094806,0.5354818943982785
2024-06-02,0.503954263623125,0.6348311702563216,0.4533617616478003,0.7520338812948301,0.5525082388660836,0.5284069086064694
2024-06-09,0.697285650393922,0.6840972475512164,0.35644583703527705,0.7915785207834571,0.522593859593605,0.6614598008450665
2024-06-16,0.4315075693818785,0.7014315492829816,0.12313287342810689,0.5541879270258621,0.23450891490441547,0.6646815833961741
2024-06-23,0.7315193084879222,0.8913525103697172,0.23792116138777897,0.6474172554890962,0.7321212041596881,0.5602609268484496
2024-06-30,0.5116776139986795,0.7763531865513145,0.2711863066072969,0.8543709823553942,0.4077366745460088,0.7518126908122905
2024-07-07,0.5041438153874942,0.8698159431878862,0.568642420897985,0.6383026588678422,0.7787084647844396,0.690129679963714
2024-07-14,0.49318221404789203,0.8180341470590251,0.1681110541851742,0.6705819943237201,0.7178336920048793,0.48356291640145865
2024-07-21,0.35036354319236107,0.4213168567705159,0.2768084324549968,0.752016495616108,0.5715145463938809,0.6146790655358763
2024-07-28,0.5761421934790267,0.6938324592412844,0.016128066591061113,0.5699006462561491,0.2854987309714461,0.33543943271631527
2024-08-04,0.5242870604015823,0.5969750449967215,0.3378018815152094,0.8224636760352797,0.5376409369151314,0.6141557861556446
2024-08-11,0.7393362739080744,0.7745129454683092,0.4237772323898835,0.8676551478199344,0.6801512845553213,0.6121198173207258
2024-08-18,0.27858250532881523,0.477163045594881,0.2688871289483312,0.7496714107770673,0.4141248384754814,0.47665167344869963
2024-08-25,0.8949738144431655,0.6617752630100192,0.38262861802458364,0.9623667790174686,0.667213832530066,0.7741772361394116
2024-09-01,0.4080381466352774,0.6262435729564076,0.08991582949671995,0.8074300206098471,0.5369293795016903,0.49167256044408103
2024-09-08,0.48900190299812457,0.6224127878201057,0.28683354435486974,0.8124254444791755,0.7975562686297455,0.5924546906104688
2024-09-15,0.8923368873998285,0.7677654456057021,0.5313524288513343,0.7483577670509929,0.6939339795500552,0.8144679351736034
2024-09-22,0.6596509067762701,0.6606605105618856,0.19869322514226534,0.9167224304930776,0.636661253030393,0.7770903669618887
2024-09-29,0.8437102688162028,1.0,0.3471793447205656,0.7771406151757676,0.5368735760270116,0.8813096397075463
2024-10-06,0.5013833327873682,0.9184055225973459,0.3371261556084509,0.6965756159523915,0.5150304248974782,0.6773308408285452
2024-10-13,0.9301698240593606,1.0,0.44584549105871885,0.8156534712629679,0.807902153069785,1.0
2024-10-20,0.7458933965276722,0.5899086391894115,0.13827913024370297,0.8137935008821848,0.3464826940297365,0.8080702606652267
2024-10-27,0.7052058955128784,0.9966937040531569,0.4065231794958755,0.7545688603897496,0.6823366245758967,0.9223095654529049
2024-11-03,0.4508358581925572,0.6958041977455948,0.4451701242741842,0.6780254381069277,0.4014945609282147,0.6662365358041242
2024-11-10,0.683768296531494,0.5304615733374163,0.1244362418582382,0.8323025311809749,0.5329426431663606,0.8236613633524179
2024-11-17,0.6606875865952382,0.6894761090179454,0.4830693663727329,0.7633830901376449,0.5883348046427793,0.8956095649528814
2024-11-24,0.6555786658399676,1.0,0.460604923846474,0.9183983640346614,0.5666533209750072,0.7570545604321561
2024-12-01,0.3557479964634281,0.8535781685255927,0.05180032043866234,0.8346756375224337,0.5068215593297775,0.49314623475896735
2024-12-08,0.7238837471943056,0.8547687315185061,0.5759867812873882,0.7871582454228174,0.6822993791692652,0.6782513131388237
2024-12-15,0.6854492322159829,0.8494331746199912,0.45805058887674466,0.7933520740323001,0.5721567502744902,0.9639590981873841
2024-12-22,0.6465608747939194,0.8533411863660854,0.39568635069096303,0.8731085774450781,0.4459533856466256,0.7584383909435144
2024-12-29,0.7970744311328305,0.7822287211099705,0.2658373860586826,0.900403861128883,0.6413450744236363,0.6425241588326567
